name,region,population,notes
okayama,japan,1600000,
olomouc,czech republic,100000,
omsk,russia,1100000,
oranjestad,aruba,30000,
orebro,sweden,130000,
oruro,bolivia,200000,
osaka,japan,15000000,
osijek,croatia,100000,
oskemen,kazakhstan,400000,
oslo,norway,1000000,
ostrava,czech republic,300000,
otjiwarongo,namibia,50000,
ottawa,canada,1000000,
ouagadougou,burkina faso,2500000,
oujda,morocco,500000,
oulu,finland,200000,
oviedo,spain,800000,
oyem,gabon,60000,
pakse,laos,100000,
palembang,indonesia,2500000,
palikir,micronesia,6000,
pamplona,spain,300000,
panevezys,lithuania,90000,
papeete,french polynesia,120000,
paphos,cyprus,60000,
paramaribo,suriname,240000,
paris,france,10000000,
patras,greece,250000,
pattaya,thailand,1000000,
paysandu,uruguay,75000,
pecs,hungary,140000,
peel,isle of man,5000,
peja,kosovo,50000,
perm,russia,1000000,
perth,australia,2000000,
peshawar,pakistan,2000000,
philipsburg,sint maarten,2000,
phitsanulok,thailand,300000,
phoenix,united states,3000000,
phuket,thailand,250000,
pilar,paraguay,30000,
pilsen,czech republic,200000,
piura,peru,500000,
pleiku,vietnam,300000,
plovdiv,bulgaria,300000,
podgorica,montenegro,180000,
pokhara,nepal,600000,
poltava,ukraine,300000,
ponce,puerto rico,200000,
popondetta,papua new guinea,60000,
porlamar,venezuela,150000,
porto,portugal,1700000,
poznan,poland,900000,
prague,czech republic,1000000,
praia,cape verde,150000,
pretoria,south africa,3000000,
pristina,kosovo,160000,
prizren,kosovo,100000,
pucallpa,peru,200000,
puebla,mexico,3000000,
pula,croatia,60000,
pune,india,4000000,
puno,peru,400000,
pyongyang,north korea,3000000,
qamishli,syria,200000,
queretaro,mexico,1600000,
quetta,pakistan,1000000,
quito,ecuador,1000000,
rabat,morocco,600000,
rafah,palestine,160000,
ramallah,palestine,100000,
ramsey,isle of man,8000,
raqqa,syria,500000,
rayong,thailand,70000,
recife,brazil,3000000,
rennes,france,700000,
reykjavik,iceland,200000,
riga,latvia,800000,
rijeka,croatia,140000,
rivera,uruguay,65000,
riyadh,saudi arabia,7000000,
rome,italy,4000000,
rosario,argentina,1000000,
roseau,dominica,15000,
rotterdam,netherlands,1300000,
ruhengeri,rwanda,150000,
rustavi,georgia,100000,
rybnik,poland,500000,
saipan,northern mariana islands,40000,
salalah,oman,300000,
salta,argentina,500000,
salvador,brazil,2000000,
salzburg,austria,100000,
samarkand,uzbekistan,1000000,
samsun,turkey,1400000,
sanaa,yemen,3500000,
sanliurfa,turkey,2000000,
santiago,chile,7000000,
sapporo,japan,2600000,
sarajevo,bosnia and herzegovina,600000,
sarh,chad,90000,
savannakhet,laos,120000,
scarborough,trinidad and tobago,20000,
seattle,united states,2000000,
segou,mali,130000,
sejong,south korea,400000,
selfoss,iceland,10000,
semarang,indonesia,5000000,
sendai,japan,2200000,
seoul,south korea,25000000,
seremban,malaysia,800000,
sevastopol,crimea,550000,
seville,spain,1500000,
sfax,tunisia,1000000,
shanghai,china,24000000,
sharjah,united arab emirates,2000000,
shenzhen,china,12000000,
shiraz,iran,1800000,
shizuoka,japan,2800000,
shymkent,kazakhstan,1200000,
siauliai,lithuania,110000,
sidon,lebanon,160000,
sikasso,mali,200000,
singapore,singapore,5000000,
sinuiju,north korea,350000,
sirte,libya,130000,
skopje,north macedonia,500000,
slobozia,transnistria,20000,
smara,western sahara,60000,
sofia,bulgaria,1000000,
sohar,oman,200000,
sokode,togo,200000,
songkhla,thailand,60000,
sonsonate,el salvador,60000,
sousse,tunisia,800000,
split,croatia,170000,
stanley,falkland islands,3000,
stavanger,norway,230000,
stockholm,sweden,2500000,
strasbourg,france,800000,
stuttgart,germany,5000000,
subotica,serbia,120000,
sucre,bolivia,200000,
suez,egypt,500000,
surabaya,indonesia,9000000,
sukhumi,abkhazia,60000,
suva,fiji,200000,
swakopmund,namibia,75000,
sydney,australia,4000000,
szczecin,poland,700000,
szeged,hungary,160000,
tabora,tanzania,200000,
tabriz,iran,1700000,
tacna,peru,300000,
tahoua,niger,120000,
taichung,taiwan,4000000,
tainan,taiwan,2000000,
taipei,taiwan,7000000,
taiz,yemen,1000000,
tallinn,estonia,400000,
tamale,ghana,500000,
tampere,finland,400000,
tangier,morocco,900000,
tanta,egypt,600000,
tarawa,kiribati,60000,
tarragona,spain,400000,
tartu,estonia,100000,
tashkent,uzbekistan,3000000,
taunggyi,myanmar,300000,
tbilisi,georgia,1000000,
tegucigalpa,honduras,1000000,
tehran,iran,14000000,
tekirdag,turkey,1200000,
temuco,chile,300000,
tetovo,north macedonia,60000,
thakhek,laos,25000,
thessaloniki,greece,1000000,
thies,senegal,400000,
thimphu,bhutan,100000,
tianjin,china,13000000,
tifariti,western sahara,3000,
tijuana,mexico,2000000,
timisoara,romania,400000,
tindouf,algeria,150000,
tirana,albania,400000,
toamasina,madagascar,300000,
tobruk,libya,170000,
tokyo,japan,37000000,
toledo,spain,120000,
toluca,mexico,2000000,
toronto,canada,6000000,
torreon,mexico,1400000,
torshavn,faroe islands,20000,
touba,senegal,1100000,
toulouse,france,1300000,
townsville,australia,100000,
trang,thailand,60000,
trincomalee,sri lanka,100000,
tripoli,libya,2000000,
trondheim,norway,200000,
trujillo,peru,1000000,
tshkinvali,south ossetia,30000,
tucuman,argentina,500000,
tuguegarao,philippines,160000,
tunis,tunisia,3000000,
turin,italy,1700000,
turku,finland,300000,
tutong,brunei,10000,
tuzla,bosnia and herzegovina,140000,
tyre,lebanon,130000,
tyumen,russia,900000,
ulaanbaatar,mongolia,2000000,
ulsan,south korea,1100000,
ulyanovsk,russia,600000,
umea,sweden,130000,
uppsala,sweden,200000,
urmia,iran,1000000,
usulutan,el salvador,50000,
utrecht,netherlands,500000,
vaduz,liechtenstein,5000,
valencia,spain,2000000,
valletta,malta,500000,
valparaiso,chile,900000,
vanadzor,armenia,80000,
vancouver,canada,2000000,
varna,bulgaria,300000,
vasteras,sweden,130000,
vavuniya,sri lanka,100000,
venice,italy,500000,
victoria,seychelles,25000,
vienna,austria,1000000,
vigo,spain,600000,
vilnius,lithuania,600000,
vinh,vietnam,500000,
vinnytsia,ukraine,600000,
vitebsk,belarus,300000,
vladivostok,russia,600000,
volgograd,russia,1000000,
volos,greece,90000,
voronezh,russia,1000000,
wanyjok,south sudan,300000,
warsaw,poland,2500000,
waterford,ireland,60000,
wellington,new zealand,200000,
weno,micronesia,13000,
wheeland,turks and caicos islands,3000,
willemstad,curacao,130000,
windhoek,namibia,500000,
winnipeg,canada,800000,
wonsan,north korea,400000,
wroclaw,poland,900000,
wuhan,china,8000000,
xian,china,7000000,
yallahs,jamaica,10000,
yamoussoukro,ivoy coast,350000,
yangon,myanmar,5000000,
yaren,nauru,1000,
yerevan,armenia,1000000,
yaounde,cameroon,1000000,
yogyakarta,indonesia,1500000,
zadar,croatia,70000,
zagreb,croatia,800000,
zahle,lebanon,100000,
zanzibar,tanzania,200000,
zaporizhzhia,ukraine,800000,
zaragoza,spain,700000,
zarqa,jordan,700000,
zenica,bosnia and herzegovina,160000,
ziguinchor,senegal,200000,
zilina,slovakia,160000,
zinder,niger,200000,
zrenjanin,serbia,100000,
zurich,switzerland,1800000,
